Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,1,2002,,MEI CHERN YEW,0:22:49,Female,Team 2001,Heat1 8:00:00 AM,0:00:03,0:02:10,0:04:20,0:06:54,0:09:41,0:10:18,0:12:57,0:14:30,0:14:58,0:18:03,0:19:25,0:21:45,0:22:49
,2,2001,,CHRISTINE GUAN,0:22:49,Female,Team 2001,Heat1 8:00:00 AM,0:00:03,0:02:17,0:04:20,0:06:52,0:09:28,0:10:16,0:13:00,0:14:26,0:14:54,0:18:04,0:19:24,0:21:47,0:22:49
,3,2016,,ARWA KADDUR,0:25:24,Female,Team 2015,Heat1 8:00:00 AM,0:00:03,0:02:05,0:04:09,0:06:36,0:09:34,0:10:16,0:13:24,0:15:32,0:17:03,0:20:07,0:22:04,0:24:29,0:25:24
,4,2015,,YU YIN CHIEW,0:25:24,Female,Team 2015,Heat1 8:00:00 AM,0:00:03,0:02:03,0:04:10,0:06:35,0:09:37,0:10:23,0:13:20,0:15:35,0:17:00,0:20:09,0:22:05,0:24:30,0:25:24
,5,2018,,JENNIFER HØJGAARD,0:25:31,Female,Team 2017,Heat1 8:00:00 AM,0:00:03,0:02:12,0:04:13,0:07:10,0:10:28,0:11:23,0:14:20,0:16:45,0:17:53,0:20:33,0:22:15,0:24:30,0:25:31
,6,2017,,DONNA GRIFFITHS,0:25:32,Female,Team 2017,Heat1 8:00:00 AM,0:00:02,0:02:13,0:04:14,0:07:11,0:10:30,0:11:24,0:14:20,0:16:43,0:17:53,0:20:30,0:22:16,0:24:30,0:25:32
,7,2046,,LIM LIU JING,0:26:02,Female,Team 2045,Heat2 8:15:00 AM,0:00:01,0:02:19,0:03:59,0:06:34,0:09:59,0:11:03,0:13:52,0:16:40,0:17:58,0:20:35,0:22:17,0:24:50,0:26:02
,8,2045,,NGU WEE JYEH,0:26:02,Female,Team 2045,Heat2 8:15:00 AM,0:00:02,0:02:19,0:04:00,0:06:32,0:09:59,0:11:05,0:13:58,0:16:40,0:17:58,0:20:36,0:22:19,0:24:48,0:26:02
,9,2023,,AMANDA CHEN,0:26:46,Female,Team 2023,Heat1 8:00:00 AM,0:00:02,0:01:58,0:04:07,0:07:10,0:11:08,0:12:14,0:15:43,0:17:20,0:18:38,0:20:58,0:22:41,0:25:35,0:26:46
,10,2024,,DENISE HO,0:26:47,Female,Team 2023,Heat1 8:00:00 AM,0:00:02,0:01:54,0:04:07,0:07:12,0:11:11,0:12:16,0:15:40,0:17:21,0:18:41,0:21:01,0:22:43,0:25:38,0:26:47
