Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Row Erg,Deadball Burpee Over Target,Pendulum Shots,Bike Erg,Sandbag Gauntlet,Battle Rope Whips,Farmer's Carry,Agility Chamber,Ski Erg,Mule,Sled Push & Pull
1,J2688,TEAM HAPPY BIRD,00:18:18.0,,30-44,1,Mixed,1,Happy bird,Chai John,Sok Ching Tan,Chai Gwyneth,Chooi Jeff,Wave1 15:15:00,00:00:01.0,00:01:47.0,00:03:40.0,00:05:29.0,00:06:18.0,00:08:12.0,00:09:36.0,00:11:31.0,00:12:30.0,00:14:18.0,00:15:21.0,00:16:32.0,00:18:18.0
2,J2700,TEAM ZENITH,00:18:34.0,,30-44,2,Mixed,2,Zenith,Tan Simon,Tan Zhao Lin,Toong Mun Ee,Teng Limin,Wave1 15:15:00,00:00:02.0,00:01:55.0,00:04:04.0,00:06:40.0,00:07:38.0,00:09:27.0,00:10:58.0,00:12:12.0,00:12:45.0,00:14:37.0,00:15:45.0,00:16:38.0,00:18:34.0
3,J2727,TEAM THE FANTASTIC 4,00:18:35.0,+00:00:00,30-44,3,Mixed,3,The Fantastic 4,DMELLO BRIAN KEITH,Wong Zoey,abdul muttlib maizatul akmal,Teong Sze howe,Wave1 15:15:00,00:00:01.0,00:01:41.0,00:03:55.0,00:06:49.0,00:07:39.0,00:09:25.0,00:11:00.0,00:12:21.0,00:13:26.0,00:15:10.0,00:16:15.0,00:17:09.0,00:18:35.0
4,J2747,TEAM ULTRAX POTATOES,00:18:38.0,-00:00:01,30-44,4,Mixed,4,UltraX Potatoes,Lim Eugene,Chua Stephanie,Chang Simon,Yeong Oscar,Wave1 15:15:00,00:00:01.0,00:01:34.0,00:03:38.0,00:06:53.0,00:07:38.0,00:09:09.0,00:10:35.0,00:11:51.0,00:12:37.0,00:14:32.0,00:15:37.0,00:16:42.0,00:18:39.0
5,J2749,TEAM FITNESS DISTRICT,00:18:40.0,,< 30,1,Mixed,5,FITNESS DISTRICT,SEAH ZHANG YU,NG HAN SEANG,GOOI WEN XIN,SEAH YEE LIN,Wave1 15:15:00,00:00:01.0,00:01:41.0,00:03:34.0,00:05:58.0,00:06:52.0,00:08:35.0,00:10:25.0,00:11:41.0,00:12:23.0,00:14:15.0,00:15:17.0,00:16:15.0,00:18:40.0
6,J2684,TEAM B45,00:18:50.0,,< 30,2,Mixed,6,B45,Kar Yoong Audrey Ng,Koh Tien Koon,Chin Mei Ru,bin Muhammad Sharif Song Muhammad Haidas,Wave1 15:15:00,00:00:01.0,00:01:32.0,00:03:36.0,00:06:00.0,00:06:57.0,00:08:41.0,00:10:29.0,00:11:46.0,00:12:38.0,00:14:17.0,00:15:18.0,00:16:38.0,00:18:50.0
7,J2734,TEAM FIREBATAI,00:18:54.0,-00:00:25,30-44,5,Mixed,7,FIREBATAI,Daneshvar Ashkan,Way Vien Genevieve Lim,Lee Kien Han,Yen Grace Lean Lyn,Wave1 15:15:00,00:00:01.0,00:01:42.0,00:03:43.0,00:05:49.0,00:06:39.0,00:08:30.0,00:10:21.0,00:11:35.0,00:12:48.0,00:14:27.0,00:15:43.0,00:16:49.0,00:19:19.0
8,J2725,TEAM THE MISFITS,00:19:34.0,,30-44,6,Mixed,8,The Misfits,Zulhaimi Shareena,Proehoeman Mawar,Aniq Muhammad Rais,MdNajMuddin Akid,Wave5 15:55:00,00:00:00.0,00:01:56.0,00:03:59.0,00:06:17.0,00:07:35.0,00:09:36.0,00:11:34.0,00:12:55.0,00:13:45.0,00:15:33.0,00:16:33.0,00:17:38.0,00:19:34.0
9,J2754,TEAM TEAM LAST MIN,00:20:24.0,,< 30,3,Mixed,9,team last min,Liew Qian Ning,akbal muhammad shahril,Salim Aiman,Siow Vivian,Wave3 15:35:00,00:00:02.0,00:02:01.0,00:04:21.0,00:06:23.0,00:07:11.0,00:09:10.0,00:10:45.0,00:12:27.0,00:13:25.0,00:15:18.0,00:16:33.0,00:17:33.0,00:20:24.0
10,J2732,TEAM BEHTAHAN2.0,00:20:27.0,,30-44,7,Mixed,10,Behtahan2.0,Goh Smith,Chua Gwen,Low Rachel,Yong Simon,Wave3 15:35:00,00:00:02.0,00:01:40.0,00:03:53.0,00:06:44.0,00:07:57.0,00:09:45.0,00:11:46.0,00:13:13.0,00:14:21.0,00:16:09.0,00:17:16.0,00:18:22.0,00:20:27.0
