Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,1,2113,,ALEXANDRE MOREL,0:19:27,Male,Team 2113,Heat1 10:00:00 AM,0:00:05,0:01:49,0:03:25,0:05:30,0:07:33,0:08:04,0:10:37,0:12:28,0:13:25,0:15:07,0:16:26,0:18:25,0:19:27
,2,2114,,NICK TISINGER,0:19:27,Male,Team 2113,Heat1 10:00:00 AM,0:00:05,0:01:50,0:03:27,0:05:31,0:07:35,0:08:06,0:10:33,0:12:27,0:13:23,0:15:05,0:16:26,0:18:27,0:19:27
,3,2123,,NAJAAT SABRI,0:21:10,Male,Team 2123,Heat1 10:00:00 AM,0:00:01,0:01:37,0:03:43,0:05:57,0:08:08,0:08:46,0:11:19,0:13:17,0:14:50,0:16:43,0:18:11,0:20:16,0:21:10
,4,2108,,JAMIE BARNETT,0:21:15,Male,Team 2107,Heat1 10:00:00 AM,0:00:02,0:01:44,0:03:29,0:05:24,0:07:47,0:08:31,0:11:12,0:13:24,0:14:07,0:16:43,0:18:12,0:20:24,0:21:15
,5,2124,,MOHD SADDAM MOHD PITTLI,0:21:16,Male,Team 2123,Heat1 10:00:00 AM,0:00:01,0:01:48,0:03:41,0:05:57,0:08:10,0:08:50,0:11:21,0:13:22,0:14:45,0:16:41,0:18:12,0:20:17,0:21:16
,6,2107,,RAJ AHMED,0:21:22,Male,Team 2107,Heat1 10:00:00 AM,0:00:03,0:01:48,0:03:27,0:05:23,0:07:48,0:08:32,0:11:10,0:13:25,0:14:11,0:16:44,0:18:13,0:20:25,0:21:15
,7,2110,,MARC LE,0:21:53,Male,Team 2109,Heat1 10:00:00 AM,0:00:03,0:01:55,0:03:32,0:05:25,0:07:22,0:08:10,0:10:48,0:12:57,0:14:09,0:16:52,0:18:42,0:20:54,0:21:53
,8,2109,,AARON CHAN CHOW HEE,0:21:54,Male,Team 2109,Heat1 10:00:00 AM,0:00:02,0:01:56,0:03:30,0:05:25,0:07:23,0:08:13,0:10:52,0:13:07,0:14:11,0:16:51,0:18:45,0:20:57,0:21:54
,9,2115,,FAYEZ ALKUZBARI,0:22:32,Male,Team 2115,Heat1 10:00:00 AM,0:00:03,0:01:56,0:03:52,0:06:30,0:09:18,0:10:06,0:12:43,0:14:51,0:15:52,0:18:01,0:19:36,0:21:31,0:22:32
,10,2116,,JAWAD KROUMA,0:22:32,Male,Team 2115,Heat1 10:00:00 AM,0:00:03,0:01:56,0:03:51,0:06:30,0:09:15,0:10:02,0:12:46,0:15:01,0:16:04,0:18:04,0:19:36,0:21:34,0:22:32
,11,2199,,SZE HOWE TEONG,0:24:09,Male,Team 2198,Heat4 10:45:00 AM,0:00:04,0:02:17,0:04:00,0:06:33,0:09:19,0:09:56,0:12:25,0:14:52,0:15:45,0:18:44,0:20:40,0:22:58,0:24:09
,12,2198,,BRIAN KEITH DMELLO,0:24:10,Male,Team 2198,Heat4 10:45:00 AM,0:00:03,0:02:17,0:03:59,0:06:35,0:09:21,0:09:58,0:12:29,0:14:54,0:15:47,0:18:46,0:20:42,0:23:00,0:24:10
,13,2119,,DIAA ALMUNAJED,0:24:18,Male,Team 2119,Heat1 10:00:00 AM,0:00:01,0:02:00,0:04:10,0:06:51,0:09:18,0:10:28,0:13:51,0:16:13,0:17:14,0:19:14,0:20:41,0:23:22,0:24:18
,14,2120,,ABOOD ALMUNAJED,0:24:19,Male,Team 2119,Heat1 10:00:00 AM,0:00:02,0:01:49,0:04:06,0:06:54,0:09:20,0:10:25,0:13:45,0:16:06,0:17:06,0:19:11,0:20:36,0:23:19,0:24:19
,15,2118,,SIMON CHANG,0:24:19,Male,Team 2117,Heat1 10:00:00 AM,0:00:02,0:01:51,0:03:53,0:06:52,0:09:16,0:10:25,0:13:13,0:15:37,0:17:04,0:19:36,0:21:02,0:23:13,0:24:19
,16,2117,,OSCAR YEONG,0:24:19,Male,Team 2117,Heat1 10:00:00 AM,0:00:02,0:01:48,0:03:52,0:06:52,0:09:14,0:10:21,0:13:13,0:15:42,0:17:03,0:19:38,0:21:05,0:23:15,0:24:19
,17,2191,,VELID KASAPOVIC,0:24:55,Male,Team 2190,Heat4 10:45:00 AM,0:00:04,0:02:16,0:04:05,0:06:56,0:09:27,0:10:21,0:13:06,0:15:58,0:17:10,0:19:16,0:21:08,0:23:42,0:24:55
,18,2190,,ADMIR MASIN,0:24:56,Male,Team 2190,Heat4 10:45:00 AM,0:00:03,0:02:17,0:04:06,0:06:57,0:09:28,0:10:20,0:13:06,0:15:57,0:17:07,0:19:17,0:21:10,0:23:42,0:24:56
,19,2128,,JIAN HONG TENG,0:25:45,Male,Team 2127,Heat1 10:00:00 AM,0:00:03,0:01:50,0:03:58,0:06:18,0:08:59,0:09:38,0:12:46,0:15:21,0:16:24,0:20:34,0:22:04,0:24:40,0:25:45
,20,2127,,BRANDON PORLE,0:25:46,Male,Team 2127,Heat1 10:00:00 AM,0:00:02,0:01:53,0:04:00,0:06:20,0:09:00,0:09:40,0:12:48,0:15:24,0:16:24,0:20:37,0:22:06,0:24:43,0:25:46
,21,2397,,CHIN HONG LIM,0:26:04,Male,Team 2220,Heat5 11:00:00 AM,0:00:06,0:02:22,0:04:27,0:07:00,0:09:44,0:10:53,0:13:54,0:15:57,0:17:09,0:20:44,0:22:11,0:24:48,0:26:04
,22,2396,,YEONG HENG YEE,0:26:04,Male,Team 2220,Heat5 11:00:00 AM,0:00:07,0:02:21,0:04:25,0:06:58,0:09:43,0:10:49,0:13:52,0:15:54,0:17:07,0:20:44,0:22:09,0:24:49,0:26:04
,23,2154,,PUTRA WAYAN,0:26:16,Male,Team 2153,Heat2 10:15:00 AM,0:00:01,0:02:29,0:04:49,0:07:05,0:09:34,0:10:31,0:13:24,0:15:50,0:17:21,0:20:07,0:21:49,0:24:54,0:26:16
,24,2153,,LIM MIN YE,0:26:17,Male,Team 2153,Heat2 10:15:00 AM,0:00:02,0:02:28,0:04:52,0:07:06,0:09:35,0:10:32,0:13:21,0:15:51,0:17:22,0:20:07,0:21:49,0:24:54,0:26:17
,25,2122,,AHMAD ALSERAWAN,0:26:19,Male,Team 2121,Heat1 10:00:00 AM,0:00:04,0:02:06,0:04:02,0:07:07,0:09:59,0:11:15,0:14:04,0:16:59,0:18:01,0:20:52,0:22:25,0:24:53,0:26:19
,26,2121,,REX KON YAN TAT,0:26:19,Male,Team 2121,Heat1 10:00:00 AM,0:00:03,0:01:50,0:04:01,0:07:10,0:09:58,0:11:13,0:14:08,0:16:54,0:17:57,0:20:55,0:22:36,0:25:07,0:26:19
,27,2204,,JASON TAN,0:26:57,Male,Team 2204,Heat5 11:00:00 AM,0:00:05,0:02:37,0:04:46,0:07:33,0:10:16,0:11:03,0:13:57,0:16:06,0:17:17,0:21:37,0:23:21,0:25:48,0:26:57
,28,2205,,DENNIS OH,0:26:58,Male,Team 2204,Heat5 11:00:00 AM,0:00:05,0:02:37,0:04:48,0:07:35,0:10:18,0:11:03,0:13:58,0:16:09,0:17:15,0:21:37,0:23:22,0:25:47,0:26:58
,29,2163,,GREG MEEHAN,0:27:48,Male,Team 2162,Heat3 10:30:00 AM,0:00:04,0:02:25,0:04:08,0:06:35,0:09:22,0:10:31,0:13:18,0:16:55,0:18:06,0:22:15,0:24:05,0:26:41,0:27:48
,30,2162,,NICK DREW,0:27:49,Male,Team 2162,Heat3 10:30:00 AM,0:00:04,0:02:25,0:04:07,0:06:36,0:09:23,0:10:33,0:13:18,0:16:52,0:18:02,0:22:18,0:24:06,0:26:43,0:27:49
,31,2160,,WOODY TAN,0:28:04,Male,Team 2160,Heat3 10:30:00 AM,0:00:03,0:02:25,0:04:27,0:07:25,0:10:44,0:12:19,0:15:06,0:18:22,0:19:39,0:22:25,0:24:01,0:26:49,0:28:04
,32,2224,,CHEE KIN FONG,0:28:04,Male,Team 2160,Heat3 10:30:00 AM,0:00:04,0:02:25,0:04:24,0:07:24,0:10:42,0:12:16,0:15:04,0:18:23,0:19:47,0:22:27,0:24:02,0:26:57,0:28:04
,33,2227,,VERSAILLES BILAL,0:28:33,Male,Team 2226,Heat5 11:00:00 AM,0:00:04,0:02:15,0:04:32,0:07:08,0:09:48,0:11:21,0:13:46,0:17:04,0:18:31,0:22:01,0:23:51,0:26:48,0:28:33
