Fav,Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row,Deadball Burpee,Pendulum Shots,Bike Erg,SandbagGauntlet,Battle Whip,Farmer's Carry,Agility Chamber,Ski,Mule,Sled Push Pull
,1,1102,JULIEN PRIEUR,00:18:03.4,,30-44,1,Male,1,Wave1 17:50:00,00:00:00.0,00:01:30.8,00:03:12.3,00:04:47.3,00:06:00.6,00:07:39.2,00:09:44.5,00:11:04.5,00:12:06.7,00:13:49.7,00:15:32.9,00:16:50.8,00:18:03.4
,2,1101,PIERRE ALGRET,00:18:03.5,,30-44,2,Male,2,Wave1 17:50:00,00:00:00.0,00:01:29.1,00:03:15.4,00:04:48.4,00:05:59.5,00:07:37.7,00:09:42.8,00:11:05.2,00:12:03.5,00:13:48.6,00:15:32.1,00:16:49.5,00:18:03.5
,3,1146,TOBY WILLIAMSON,00:19:51.5,,30-44,3,Male,3,Wave1 17:50:00,00:00:01.3,00:01:57.7,00:04:03.4,00:05:22.7,00:06:26.6,00:08:05.2,00:10:08.6,00:11:48.9,00:13:13.0,00:15:11.6,00:16:59.0,00:18:30.6,00:19:51.5
,4,1145,SIMON MERRILL,00:19:53.0,,30-44,4,Male,4,Wave1 17:50:00,00:00:00.0,00:01:59.1,00:04:01.8,00:05:30.0,00:06:31.5,00:08:04.2,00:10:09.0,00:11:49.4,00:13:15.1,00:15:13.5,00:16:59.1,00:18:30.2,00:19:53.0
,5,1172,JAWAD KROUMA,00:21:25.4,,< 30,1,Male,5,Wave2 18:00:00,00:00:01.4,00:01:39.7,00:03:27.9,00:05:11.7,00:06:35.8,00:08:43.8,00:11:05.8,00:12:46.4,00:14:16.8,00:16:13.7,00:18:14.2,00:19:44.4,00:21:25.4
,6,1171,FAYEZ ALKUZBARI,00:21:26.6,,< 30,2,Male,6,Wave2 18:00:00,00:00:00.0,00:01:41.8,00:03:30.3,00:05:14.0,00:06:38.7,00:08:46.0,00:11:07.9,00:12:48.6,00:14:19.0,00:16:16.1,00:18:16.1,00:19:46.6,00:21:26.6
,7,1246,NICK DREW,00:21:32.4,,30-44,5,Male,7,Wave4 18:15:00,00:00:01.9,00:01:59.6,00:04:07.4,00:05:54.7,00:07:26.7,00:09:28.0,00:11:40.2,00:13:04.4,00:14:26.8,00:16:19.0,00:18:40.3,00:20:05.8,00:21:32.4
,8,1245,GREG MEEHAN,00:21:33.0,,30-44,6,Male,8,Wave4 18:15:00,00:00:02.0,00:02:02.2,00:04:09.3,00:05:56.5,00:07:27.1,00:09:27.4,00:11:41.5,00:13:05.8,00:14:28.5,00:16:23.5,00:18:39.6,00:20:06.7,00:21:33.0
,9,1131,ANAS DZ,00:21:37.9,,30-44,7,Male,9,Wave1 17:50:00,00:00:00.9,00:01:26.1,00:03:31.0,00:05:13.3,00:06:34.3,00:08:50.1,00:10:56.4,00:12:56.2,00:14:30.7,00:16:23.1,00:18:41.7,00:20:08.1,00:21:37.9
,10,1132,SADDAM PITTLI,00:21:38.6,,30-44,8,Male,10,Wave1 17:50:00,00:00:00.0,00:01:24.6,00:03:30.4,00:05:13.1,00:06:35.9,00:08:50.1,00:10:54.2,00:12:55.7,00:14:24.7,00:16:23.0,00:18:41.7,00:20:02.2,00:21:38.6
