Fav,Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row,Deadball Burpee,Pendulum Shots,Bike Erg,SandbagGauntlet,Battle Whip,Farmer's Carry,Agility Chamber,Ski,Mule,Sled Push Pull
,1,95,ANGIE LEK,00:23:51.3,,All Ages,1,Female,1,Wave5 08:30:00,00:00:01.9,00:02:03.4,00:03:40.9,00:06:48.0,,00:09:49.6,00:12:02.9,00:13:40.1,00:15:54.6,00:17:19.8,00:19:32.3,00:20:52.1,00:23:51.3
,2,118,ARIAL CHAN,00:24:03.1,,All Ages,2,Female,2,Wave6 08:35:00,00:00:01.2,00:01:55.4,00:03:41.5,00:07:07.6,00:09:00.8,00:10:49.9,00:12:33.8,00:14:30.7,00:16:37.7,00:17:58.8,00:20:20.0,00:21:34.7,00:24:03.1
,3,107,ERICA MEI SHANG TING,00:24:19.0,,All Ages,3,Female,3,Wave6 08:35:00,00:00:00.0,00:01:54.5,00:03:35.2,00:06:41.6,00:07:56.9,00:10:04.0,00:11:55.4,00:13:51.9,00:15:59.4,00:17:22.8,00:19:34.4,00:20:57.4,00:24:19.0
,4,83,ORANGE NING,00:24:45.1,,All Ages,4,Female,4,Wave5 08:30:00,00:00:01.1,00:02:06.2,00:04:00.3,00:06:54.2,,00:11:16.3,00:13:12.4,00:14:50.7,00:16:44.5,00:18:09.3,00:20:37.5,00:22:05.8,00:24:45.1
,5,24,KATE SARGINSON,00:25:12.8,,All Ages,5,Female,5,Wave1 08:00:00,00:00:01.8,00:02:03.5,00:03:45.4,00:06:53.7,00:08:52.2,00:10:26.4,00:12:59.7,00:14:41.5,00:16:53.9,00:18:26.7,00:20:33.1,00:22:10.2,00:25:12.8
,6,226,NATASHA CHUAH,00:25:23.9,,All Ages,6,Female,6,Wave12 09:05:00,00:00:00.0,00:02:28.4,00:04:17.0,00:07:19.3,00:08:42.0,00:10:53.4,00:13:01.9,00:14:44.4,00:16:57.4,00:18:28.9,00:20:38.7,00:22:11.4,00:25:23.9
,7,42,SHARFEYNEY SAZALI,00:25:31.0,,All Ages,7,Female,7,Wave2 08:10:00,00:00:01.7,00:02:45.3,00:04:22.5,00:07:16.2,,00:10:31.4,00:12:51.3,00:14:18.5,00:16:50.8,00:18:23.5,00:20:38.3,00:22:27.2,00:25:31.0
,8,81,CHUNG SING LING,00:26:00.0,,All Ages,8,Female,8,Wave4 08:25:00,00:00:03.7,00:02:24.9,00:04:09.3,00:07:43.1,,00:10:58.4,00:12:55.6,00:14:18.1,00:17:01.8,00:18:39.5,00:20:58.8,00:22:32.0,00:26:00.0
,9,173,KATRINA TAIB,00:26:26.8,,All Ages,9,Female,9,Wave2 08:10:00,00:00:02.3,00:02:09.9,00:03:53.3,00:06:49.9,,00:10:01.0,00:12:37.6,00:16:07.6,00:18:21.7,00:19:47.7,00:21:48.2,00:23:08.4,00:26:26.8
,10,94,NABILAH ABDUL GHAFAR,00:26:35.2,,All Ages,10,Female,10,Wave5 08:30:00,00:00:02.8,00:02:26.4,00:04:14.2,00:07:00.6,,00:10:59.2,00:13:11.8,00:15:06.6,00:17:38.7,00:19:08.6,00:21:19.4,00:22:47.5,00:26:35.2
,11,104,FARAH ISMAIL,00:26:53.9,,All Ages,11,Female,11,Wave6 08:35:00,00:00:01.3,00:02:19.3,00:04:26.1,00:07:43.3,00:09:21.8,00:11:32.6,00:13:42.0,00:15:53.2,00:18:39.5,00:20:08.9,00:22:21.6,00:23:49.3,00:26:53.9
,12,196,ANGELA JAEL SOH,00:26:56.4,,All Ages,12,Female,12,Wave10 08:55:00,00:00:03.4,00:02:26.6,00:04:01.2,00:07:28.4,00:08:59.6,00:11:32.1,00:13:33.5,00:15:29.5,00:18:20.5,00:19:40.5,,00:23:51.4,00:26:56.4
,13,217,JESSICA TING,00:27:04.5,,All Ages,13,Female,13,Wave12 09:05:00,00:00:01.5,00:01:58.7,00:03:41.3,00:06:56.9,00:08:50.5,00:10:41.1,00:12:56.4,00:16:02.8,00:18:59.7,00:20:22.3,00:22:35.1,00:24:07.7,00:27:04.5
